94002,37.514352,-122.298896
94005,37.688826,-122.408935
94010,37.570280,-122.365778
94014,37.690884,-122.447441
94015,37.681264,-122.480589
94019,37.469453,-122.411841
94020,37.274612,-122.232420
94021,37.270838,-122.280738
94022,37.357489,-122.144437
94024,37.352234,-122.094399
94025,37.457524,-122.176542
94027,37.453514,-122.204756
94028,37.376828,-122.209796
94030,37.598970,-122.401991
94037,37.554298,-122.496632
94038,37.526902,-122.512164
94040,37.380566,-122.085293
94041,37.388520,-122.075726
94043,37.414028,-122.070679
94044,37.606627,-122.477211
94060,37.247137,-122.273493
94061,37.461147,-122.236948
94062,37.413691,-122.295343
94063,37.493297,-122.195535
94065,37.534106,-122.247372
94066,37.625086,-122.433593
94070,37.496466,-122.272565
94074,37.331714,-122.341466
94080,37.655490,-122.422075
94085,37.388556,-122.017732
94086,37.371647,-122.023134
94087,37.351529,-122.036959
94089,37.412402,-122.015605
94102,37.779588,-122.419318
94103,37.773134,-122.411167
94104,37.791409,-122.402130
94105,37.789864,-122.393665
94107,37.760460,-122.399724
94108,37.792007,-122.408575
94109,37.795388,-122.422453
94110,37.750021,-122.415201
94111,37.799367,-122.398407
94112,37.720375,-122.442950
94114,37.758057,-122.435410
94115,37.785969,-122.437253
94116,37.745399,-122.486065
94117,37.769436,-122.447662
94118,37.780097,-122.462605
94121,37.776769,-122.494707
94122,37.758797,-122.485128
94123,37.800934,-122.438366
94124,37.728895,-122.382779
94127,37.736220,-122.459338
94128,37.626411,-122.385757
94129,37.797336,-122.464462
94130,37.820661,-122.369655
94131,37.745916,-122.441472
94132,37.722220,-122.484077
94133,37.804531,-122.410852
94134,37.721052,-122.413573
94158,37.768106,-122.386927
94301,37.444123,-122.149911
94303,37.457880,-122.115158
94304,37.374707,-122.181698
94305,37.418256,-122.170871
94306,37.415727,-122.130762
94401,37.576948,-122.316903
94402,37.523602,-122.344920
94403,37.538449,-122.305447
94404,37.555999,-122.267679
94501,37.773793,-122.278115
94502,37.737572,-122.245507
94503,38.186532,-122.264069
94505,37.871680,-121.597066
94506,37.809677,-121.913141
94507,37.850411,-122.021124
94508,38.576618,-122.444388
94509,37.996501,-121.812301
94510,38.098071,-122.135940
94511,38.028939,-121.640521
94512,38.134852,-121.834156
94513,37.922228,-121.668359
94514,37.826372,-121.622546
94515,38.634822,-122.615051
94516,37.833901,-122.165034
94517,37.890217,-121.878354
94518,37.950362,-122.022039
94519,37.988451,-122.013001
94520,37.995285,-122.040627
94521,37.956012,-121.956194
94523,37.954131,-122.076140
